Category,Descript
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED"
LARCENY/THEFT,PETTY THEFT FROM UNLOCKED AUTO
ROBBERY,"ROBBERY,  ATM, KNIFE"
DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE
NON-CRIMINAL,FOUND PROPERTY
WARRANTS,WARRANT ARREST
WARRANTS,ENROUTE TO OUTSIDE JURISDICTION
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED"
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED"
OTHER OFFENSES,TRAFFIC VIOLATION
ROBBERY,ROBBERY ON THE STREET WITH A GUN
NON-CRIMINAL,FOUND PROPERTY
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED"
VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS"
VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS"
ASSAULT,INFLICT INJURY ON COHABITEE
BURGLARY,"BURGLARY, HOT PROWL, UNLAWFUL ENTRY"
NON-CRIMINAL,LOST PROPERTY
WARRANTS,ENROUTE TO OUTSIDE JURISDICTION
WARRANTS,WARRANT ARREST
DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE
ROBBERY,ROBBERY ON THE STREET WITH A GUN
ASSAULT,INFLICT INJURY ON COHABITEE
SECONDARY CODES,DOMESTIC VIOLENCE
BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY"
ASSAULT,ASSAULT WITH CAUSTIC CHEMICALS
SECONDARY CODES,DOMESTIC VIOLENCE
OTHER OFFENSES,HARASSING PHONE CALLS
VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS"
ASSAULT,BATTERY
SUSPICIOUS OCC,INVESTIGATIVE DETENTION
SUSPICIOUS OCC,SUSPICIOUS PERSON
ARSON,ARSON OF A COMMERCIAL BUILDING
LARCENY/THEFT,PETTY THEFT OF PROPERTY
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED"
VEHICLE THEFT,STOLEN MOTORCYCLE
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO
NON-CRIMINAL,PROPERTY FOR IDENTIFICATION
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
STOLEN PROPERTY,"STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING"
NON-CRIMINAL,LOST PROPERTY
ASSAULT,INFLICT INJURY ON COHABITEE
OTHER OFFENSES,RESISTING ARREST
LARCENY/THEFT,PETTY THEFT OF PROPERTY
ASSAULT,BATTERY
KIDNAPPING,FALSE IMPRISONMENT
ASSAULT,BATTERY
STOLEN PROPERTY,"STOLEN CELLULAR PHONE, NON-CLONED, POSSESSION"
WARRANTS,WARRANT ARREST
ASSAULT,BATTERY
VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE
VEHICLE THEFT,STOLEN AUTOMOBILE
SUSPICIOUS OCC,INVESTIGATIVE DETENTION
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM"
FRAUD,"CREDIT CARD, THEFT BY USE OF"
VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS WITH BB GUN"
FORGERY/COUNTERFEITING,FORGERY & COUNTERFEITING (GENERAL)
OTHER OFFENSES,FALSE PERSONATION TO RECEIVE MONEY OR PROPERTY
FRAUD,FRAUDULENT USE OF AUTOMATED TELLER CARD
FRAUD,"CREDIT CARD, THEFT BY USE OF"
LARCENY/THEFT,PETTY THEFT FROM A BUILDING
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM"
DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE
WEAPON LAWS,"FIREARM, LOADED, IN VEHICLE, POSSESSION OR USE"
WEAPON LAWS,POSS OF FIREARM BY CONVICTED FELON/ADDICT/ALIEN
WARRANTS,ENROUTE TO OUTSIDE JURISDICTION
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES"
MISSING PERSON,FOUND PERSON
MISSING PERSON,MISSING ADULT
NON-CRIMINAL,CASE CLOSURE
LARCENY/THEFT,PETTY THEFT OF PROPERTY
LARCENY/THEFT,GRAND THEFT FROM A BUILDING
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
MISSING PERSON,FOUND PERSON
MISSING PERSON,MISSING JUVENILE
NON-CRIMINAL,LOST PROPERTY
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED"
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES"
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON
LARCENY/THEFT,GRAND THEFT FROM PERSON
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM"
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO
NON-CRIMINAL,"AIDED CASE, SICK PERSON"
LARCENY/THEFT,THEFT OF CHECKS OR CREDIT CARDS
ASSAULT,ELDER ADULT OR DEPENDENT ABUSE (NOT EMBEZZLEMENT OR THEFT)
NON-CRIMINAL,LOST PROPERTY
LARCENY/THEFT,PETTY THEFT FROM A BUILDING
FRAUD,FRAUDULENT USE OF AUTOMATED TELLER CARD
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM"
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
ASSAULT,BATTERY
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM"
OTHER OFFENSES,TRAFFIC VIOLATION
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM"
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO
VEHICLE THEFT,STOLEN AUTOMOBILE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES"
VEHICLE THEFT,STOLEN AUTOMOBILE
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO
OTHER OFFENSES,FALSE PERSONATION
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT,PETTY THEFT OF PROPERTY
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED"
NON-CRIMINAL,FOUND PROPERTY
WARRANTS,WARRANT ARREST
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED"
RUNAWAY,RUNAWAY
MISSING PERSON,MISSING JUVENILE
ASSAULT,AGGRAVATED ASSAULT WITH A KNIFE
OTHER OFFENSES,DANGER OF LEADING IMMORAL LIFE
MISSING PERSON,FOUND PERSON
ASSAULT,ELDER ADULT OR DEPENDENT ABUSE (NOT EMBEZZLEMENT OR THEFT)
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON
ASSAULT,THREATS AGAINST LIFE
LARCENY/THEFT,PETTY THEFT FROM A BUILDING
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
WARRANTS,ENROUTE TO DEPARTMENT OF CORRECTIONS
DRUG/NARCOTIC,POSSESSION OF MARIJUANA
DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED"
LARCENY/THEFT,GRAND THEFT FROM PERSON
NON-CRIMINAL,LOST PROPERTY
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT,PETTY THEFT FROM UNLOCKED AUTO
LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES"
NON-CRIMINAL,FOUND PROPERTY
ASSAULT,INFLICT INJURY ON COHABITEE
NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN"
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
BURGLARY,"BURGLARY OF FLAT, UNLAWFUL ENTRY"
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED"
OTHER OFFENSES,TRAFFIC VIOLATION
ROBBERY,"ROBBERY ON THE STREET, STRONGARM"
OTHER OFFENSES,CONSPIRACY
DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE
WARRANTS,ENROUTE TO OUTSIDE JURISDICTION
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED"
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
OTHER OFFENSES,RESISTING ARREST
SECONDARY CODES,DOMESTIC VIOLENCE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
VEHICLE THEFT,STOLEN AUTOMOBILE
ASSAULT,"BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP"
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO
OTHER OFFENSES,VIOLATION OF MUNICIPAL CODE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
ASSAULT,THREATS AGAINST LIFE
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED"
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM"
LARCENY/THEFT,GRAND THEFT OF PROPERTY
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM"
VEHICLE THEFT,STOLEN AUTOMOBILE
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED"
VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS"
ROBBERY,"ROBBERY,  ATM, FORCE, ATT."
OTHER OFFENSES,TRAFFIC VIOLATION
NON-CRIMINAL,"CIVIL SIDEWALKS, CITATION"
VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE
VEHICLE THEFT,STOLEN TRUCK
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED"
LARCENY/THEFT,ATTEMPTED THEFT FROM LOCKED VEHICLE
SEX OFFENSES FORCIBLE,SEXUAL BATTERY
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES"
OTHER OFFENSES,RESTRAINING ORDER NOTIFICATION/SERVICE OF RESTRAINING ORDER
VANDALISM,"MALICIOUS MISCHIEF, GRAFFITI"
VEHICLE THEFT,STOLEN TRUCK
ASSAULT,THREAT OR FORCE TO RESIST EXECUTIVE OFFICER
VANDALISM,"MALICIOUS MISCHIEF, ADULT SUSPECT"
SUSPICIOUS OCC,INVESTIGATIVE DETENTION
NON-CRIMINAL,"AIDED CASE, INJURED PERSON"
LARCENY/THEFT,PETTY THEFT BICYCLE
WARRANTS,ENROUTE TO OUTSIDE JURISDICTION
WARRANTS,WARRANT ARREST
OTHER OFFENSES,EVADING A POLICE OFFICER RECKLESSLY
ASSAULT,ASSAULT ON A POLICE OFFICER WITH A DEADLY WEAPON
LARCENY/THEFT,GRAND THEFT OF PROPERTY
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT,PETTY THEFT OF PROPERTY
LARCENY/THEFT,PETTY THEFT FROM UNLOCKED AUTO
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM"
WARRANTS,ENROUTE TO ADULT AUTHORITY
WARRANTS,WARRANT ARREST
OTHER OFFENSES,TRAFFIC VIOLATION ARREST
SUSPICIOUS OCC,INVESTIGATIVE DETENTION
WARRANTS,PROBATION SEARCH
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
OTHER OFFENSES,VIOLATION OF MUNICIPAL POLICE CODE
WARRANTS,WARRANT ARREST
ASSAULT,BATTERY
OTHER OFFENSES,TRAFFIC VIOLATION ARREST
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM"
VEHICLE THEFT,STOLEN AUTOMOBILE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
WEAPON LAWS,CARRYING A CONCEALED WEAPON
SUSPICIOUS OCC,INVESTIGATIVE DETENTION
VEHICLE THEFT,STOLEN AUTOMOBILE
NON-CRIMINAL,FOUND PROPERTY
OTHER OFFENSES,INDECENT EXPOSURE
LARCENY/THEFT,PETTY THEFT OF PROPERTY
ASSAULT,BATTERY
ASSAULT,BATTERY
BURGLARY,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY"
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM"
LARCENY/THEFT,PETTY THEFT OF PROPERTY
DRIVING UNDER THE INFLUENCE,DRIVING WHILE UNDER THE INFLUENCE OF DRUGS
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
NON-CRIMINAL,LOST PROPERTY
ASSAULT,BATTERY
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
WARRANTS,PROBATION SEARCH
WARRANTS,WARRANT ARREST
WEAPON LAWS,CARRYING A CONCEALED WEAPON
WARRANTS,WARRANT ARREST
BURGLARY,"BURGLARY, HOT PROWL, UNLAWFUL ENTRY"
OTHER OFFENSES,RESISTING ARREST
OTHER OFFENSES,TRAFFIC VIOLATION ARREST
ASSAULT,BATTERY
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED"
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM"
NON-CRIMINAL,LOST PROPERTY
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
OTHER OFFENSES,FALSE PERSONATION
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
NON-CRIMINAL,FOUND PROPERTY
MISSING PERSON,MISSING ADULT
MISSING PERSON,FOUND PERSON
LARCENY/THEFT,PETTY THEFT SHOPLIFTING
DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE
OTHER OFFENSES,PROBATION VIOLATION
WARRANTS,WARRANT ARREST
NON-CRIMINAL,LOST PROPERTY
ASSAULT,BATTERY
NON-CRIMINAL,"CIVIL SIDEWALKS, CITATION"
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
MISSING PERSON,MISSING ADULT
MISSING PERSON,FOUND PERSON
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
OTHER OFFENSES,LOST/STOLEN LICENSE PLATE
ASSAULT,CHILD ABUSE (PHYSICAL)
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES"
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO
BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY"
LARCENY/THEFT,PETTY THEFT OF PROPERTY
OTHER OFFENSES,FAILURE TO REGISTER AS SEX OFFENDER
OTHER OFFENSES,PROBATION VIOLATION
WARRANTS,WARRANT ARREST
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED"
ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE
NON-CRIMINAL,FOUND PROPERTY
FRAUD,"AUDIOVISUAL (VIDEO OR SOUND) RECORDINGS, UNAUTHORIZED"
SUSPICIOUS OCC,SUSPICIOUS ACT TOWARDS FEMALE
ASSAULT,BATTERY
ASSAULT,BATTERY
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED"
LARCENY/THEFT,THEFT OF COMPUTERS OR CELL PHONES
OTHER OFFENSES,CONSPIRACY
ASSAULT,BATTERY WITH SERIOUS INJURIES
VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE
VEHICLE THEFT,STOLEN AUTOMOBILE
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED"
OTHER OFFENSES,"TOBACCO PRODUCTS, SELLING OR FURNISHING TO MINOR"
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM"
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT,GRAND THEFT FROM A BUILDING
ASSAULT,THREATS AGAINST LIFE
ASSAULT,BATTERY
WEAPON LAWS,"WEAPON, DEADLY, EXHIBITING TO RESIST ARREST"
OTHER OFFENSES,TRAFFIC VIOLATION ARREST
OTHER OFFENSES,RESISTING ARREST
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE
LARCENY/THEFT,GRAND THEFT FROM PERSON
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
NON-CRIMINAL,LOST PROPERTY
LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO
NON-CRIMINAL,AIDED CASE
LARCENY/THEFT,PETTY THEFT OF PROPERTY
SUSPICIOUS OCC,INVESTIGATIVE DETENTION
OTHER OFFENSES,RESISTING ARREST
LARCENY/THEFT,PETTY THEFT SHOPLIFTING
FORGERY/COUNTERFEITING,"CHECKS, FORGERY (FELONY)"
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT,PETTY THEFT SHOPLIFTING
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED"
SUSPICIOUS OCC,INVESTIGATIVE DETENTION
ROBBERY,"ROBBERY, BODILY FORCE"
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON
LARCENY/THEFT,PETTY THEFT OF PROPERTY
ASSAULT,BATTERY
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
NON-CRIMINAL,LOST PROPERTY
VANDALISM,"MALICIOUS MISCHIEF, GRAFFITI"
LARCENY/THEFT,GRAND THEFT SHOPLIFTING
ASSAULT,BATTERY
SECONDARY CODES,JUVENILE INVOLVED
ASSAULT,BATTERY
NON-CRIMINAL,AIDED CASE
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED"
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED"
WARRANTS,ENROUTE TO OUTSIDE JURISDICTION
WARRANTS,WARRANT ARREST
LARCENY/THEFT,PETTY THEFT FROM UNLOCKED AUTO
ASSAULT,BATTERY
LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO
MISSING PERSON,FOUND PERSON
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED"
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE
FRAUD,"CREDIT CARD, THEFT BY USE OF"
NON-CRIMINAL,LOST PROPERTY
NON-CRIMINAL,LOST PROPERTY
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
ROBBERY,"ROBBERY, BODILY FORCE"
OTHER OFFENSES,LOST/STOLEN LICENSE PLATE
NON-CRIMINAL,COURTESY REPORT
OTHER OFFENSES,"FRAUDULENT GAME OR TRICK, OBTAINING MONEY OR PROPERTY"
LARCENY/THEFT,THEFT OF CHECKS OR CREDIT CARDS
FORGERY/COUNTERFEITING,"CHECKS OR LEGAL INSTRUMENTS, UTTERING FORGED"
OTHER OFFENSES,FALSE PERSONATION TO RECEIVE MONEY OR PROPERTY
OTHER OFFENSES,FALSE PERSONATION TO RECEIVE MONEY OR PROPERTY
NON-CRIMINAL,CASE CLOSURE
OTHER OFFENSES,FALSE PERSONATION
NON-CRIMINAL,CASE CLOSURE
OTHER OFFENSES,FALSE PERSONATION TO RECEIVE MONEY OR PROPERTY
FRAUD,"FALSE CLAIMS, PRESENTING TO GOVERNMENT"
ASSAULT,ASSAULT
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE
SECONDARY CODES,JUVENILE INVOLVED
ASSAULT,THREATS TO SCHOOL TEACHERS
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT,GRAND THEFT OF PROPERTY
NON-CRIMINAL,COURTESY REPORT
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED"
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED"
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED"
NON-CRIMINAL,FOUND PROPERTY
NON-CRIMINAL,LOST PROPERTY
FRAUD,"CREDIT CARD, THEFT BY USE OF"
BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY"
LARCENY/THEFT,PETTY THEFT FROM A BUILDING
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED"
ROBBERY,ATTEMPTED ROBBERY COMM. ESTAB. WITH BODILY FORCE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED"
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED"
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED"
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
NON-CRIMINAL,FOUND PROPERTY
LARCENY/THEFT,PETTY THEFT SHOPLIFTING
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
NON-CRIMINAL,FOUND PROPERTY
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
OTHER OFFENSES,TRAFFIC VIOLATION
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO
LARCENY/THEFT,GRAND THEFT SHOPLIFTING
OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER
OTHER OFFENSES,"FRAUDULENT GAME OR TRICK, OBTAINING MONEY OR PROPERTY"
LARCENY/THEFT,GRAND THEFT FROM PERSON
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
ASSAULT,BATTERY
LARCENY/THEFT,GRAND THEFT BICYCLE
NON-CRIMINAL,"STAY AWAY OR COURT ORDER, NON-DV RELATED"
OTHER OFFENSES,"STAY AWAY ORDER VIOLATION, DV RELATED"
ASSAULT,STALKING
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED"
LARCENY/THEFT,GRAND THEFT FROM PERSON
LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO
BURGLARY,"BURGLARY,APT UNDER CONSTRUCTION, UNLAWFUL ENTRY"
OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER
DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE
OTHER OFFENSES,PROBATION VIOLATION
ASSAULT,INFLICT INJURY ON COHABITEE
ASSAULT,THREATS AGAINST LIFE
MISSING PERSON,MISSING ADULT
NON-CRIMINAL,"AIDED CASE, DOG BITE"
LARCENY/THEFT,GRAND THEFT FROM PERSON
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES"
ASSAULT,DISCHARGING IN GROSSLY NEGLIGENT MANNER
WEAPON LAWS,"WEAPON, ASSAULT, POSSESSION, MANUFACTURE, OR SALE"
SECONDARY CODES,DOMESTIC VIOLENCE
ASSAULT,THREATS AGAINST LIFE
ASSAULT,UNLAWFUL DISSUADING/THREATENING OF A WITNESS
BURGLARY,"BURGLARY, UNLAWFUL ENTRY"
LARCENY/THEFT,PETTY THEFT FROM UNLOCKED AUTO
NON-CRIMINAL,LOST PROPERTY
STOLEN PROPERTY,"STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING"
DRUG/NARCOTIC,POSSESSION OF HEROIN
NON-CRIMINAL,"AIDED CASE, SICK PERSON"
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
MISSING PERSON,MISSING ADULT
LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO
BURGLARY,"BURGLARY, HOT PROWL, FORCIBLE ENTRY"
ASSAULT,BATTERY WITH SERIOUS INJURIES
BURGLARY,"BURGLARY OF RESIDENCE, ATTEMPTED FORCIBLE ENTRY"
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON
VANDALISM,"MALICIOUS MISCHIEF, GRAFFITI"
NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN"
MISSING PERSON,MISSING ADULT
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
VEHICLE THEFT,STOLEN AUTOMOBILE
TRESPASS,TRESPASSING
ASSAULT,BATTERY OF A POLICE OFFICER
ASSAULT,THREATS AGAINST LIFE
OTHER OFFENSES,PROBATION VIOLATION
OTHER OFFENSES,RESISTING ARREST
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
STOLEN PROPERTY,"STOLEN ELECTRONICS, POSSESSION"
BURGLARY,"BURGLARY, FORCIBLE ENTRY"
VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS"
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED"
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED"
NON-CRIMINAL,SEARCH WARRANT SERVICE
ROBBERY,ROBBERY ON THE STREET WITH A GUN
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED"
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED"
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED"
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED"
FRAUD,"ACCESS CARD INFORMATION, THEFT OF"
FRAUD,"CREDIT CARD, THEFT BY USE OF"
BURGLARY,"BURGLARY OF APARTMENT HOUSE, ATT FORCIBLE ENTRY"
BURGLARY,"BURGLARY, HOT PROWL, FORCIBLE ENTRY"
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED"
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED"
VANDALISM,"MALICIOUS MISCHIEF, GRAFFITI"
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED"
OTHER OFFENSES,VIOLATION OF PARK CODE
NON-CRIMINAL,FIRE REPORT
BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY"
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED"
LARCENY/THEFT,PETTY THEFT SHOPLIFTING
ASSAULT,BATTERY
ASSAULT,BATTERY
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE
BURGLARY,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY"
LARCENY/THEFT,ATTEMPTED THEFT FROM UNLOCKED VEHICLE
BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY"
ROBBERY,ROBBERY ON THE STREET WITH A KNIFE
OTHER OFFENSES,"STAY AWAY ORDER VIOLATION, DV RELATED"
ASSAULT,STALKING
SECONDARY CODES,DOMESTIC VIOLENCE
OTHER OFFENSES,FAILURE TO REGISTER AS SEX OFFENDER
DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA
WARRANTS,ENROUTE TO DEPARTMENT OF CORRECTIONS
ASSAULT,INFLICT INJURY ON COHABITEE
ASSAULT,THREATS AGAINST LIFE
OTHER OFFENSES,"STAY AWAY ORDER VIOLATION, DV RELATED"
SECONDARY CODES,DOMESTIC VIOLENCE
VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS"
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT,THEFT OF UTILITY SERVICES
NON-CRIMINAL,SEARCH WARRANT SERVICE
DRUG/NARCOTIC,PLANTING/CULTIVATING MARIJUANA
BURGLARY,"BURGLARY, VEHICLE (ARREST MADE)"
